Date,Team,Acquired,Relinquised,Notes
2014-12-17,Nuggets,Kenneth Faried,,returned to lineup
2014-12-17,Rockets,Isaiah Canaan,,returned to lineup
2014-12-17,Spurs,,Kawhi Leonard,bruised right hand (DTD)
2014-12-17,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup
2014-12-17,Spurs,Tiago Splitter,,returned to lineup
2014-12-17,Spurs,Tim Duncan,,returned to lineup
2014-12-18,Bucks,,Larry Sanders,suspended by NBA for 1 game for shoving opposing player
2014-12-18,Knicks,,Carmelo Anthony,sore left knee (DTD)
2014-12-18,Pelicans,,Tyreke Evans,bruised right knee (DTD)
2014-12-19,76ers,,Furkan Aldemir,plantar fasciitis right foot in (DTD)
2014-12-19,Celtics,Marcus Smart,,returned to lineup
2014-12-19,Hornets,,Lance Stephenson,bruised pelvis (DTD)
2014-12-19,Nets,Sergey Karasev,,returned to lineup
2014-12-19,Nuggets,,Darrell Arthur,strained left leg (DTD)
2014-12-19,Thunder,,Kendrick Perkins,left knee injury (DTD)
2014-12-19,Wizards,Paul Pierce,,returned to lineup
2014-12-19,Rockets,Francisco Garcia,,returned to lineup
2014-12-20,Knicks,,Amare Stoudemire / Amar'e Stoudemire,rest (DTD)
2014-12-20,Knicks,Carmelo Anthony,,returned to lineup
2014-12-20,Pacers,,C.J. Watson,upper respiratory ailment (DTD)
2014-12-20,Pelicans,Tyreke Evans,,returned to lineup
2014-12-20,Spurs,,Danny Green,rest (DTD)
2014-12-20,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DTD)
2014-12-20,Spurs,,Tiago Splitter,rest (DTD)
2014-12-20,Spurs,,Tim Duncan,rest (DTD)
2014-12-21,76ers,,Hollis Thompson,upper respiratory illness (DTD)
2014-12-21,Heat,,Dwyane Wade,bruised right knee (DTD)
2014-12-21,Heat,,Hassan Whiteside,left toe injury (DTD)
2014-12-21,Heat,Danny Granger,,returned to lineup
2014-12-21,Kings,,Ramon Sessions,back injury (DTD)
2014-12-21,Nuggets,,Danilo Gallinari,torn meniscus in right knee (out indefinitely)
2014-12-21,Pacers,C.J. Watson,,returned to lineup
2014-12-21,Thunder,Kendrick Perkins,,returned to lineup
2014-12-22,Kings,Ramon Sessions,,returned to lineup
2014-12-22,Nuggets,,Danilo Gallinari,surgery on right knee to repair torn meniscus (out indefinitely)
2014-12-22,Rockets,Alexey Shved,,returned to lineup
2014-12-22,Spurs,Danny Green,,returned to lineup
2014-12-22,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup
2014-12-22,Spurs,Tiago Splitter,,returned to lineup
2014-12-22,Spurs,Tim Duncan,,returned to lineup
2014-12-23,76ers,,Tony Wroten Jr.,sprained right knee (DTD)
2014-12-23,Hawks,,Pero Antic,sprained right ankle (DTD)
2014-12-23,Heat,,Josh McRoberts,surgery on right knee to repair torn meniscus (out for season)
2014-12-23,Heat,,Justin Hamilton (b),concussion (DTD)
2014-12-23,Heat,Dwyane Wade,,returned to lineup
2014-12-23,Heat,Hassan Whiteside,,returned to lineup
2014-12-23,Lakers,,Kobe Bryant,general soreness / rest (DTD)
2014-12-23,Pacers,,Damjan Rudez,upper respiratory infection (DTD)
2014-12-23,76ers,Ronny Turiaf,,returned to lineup
2014-12-25,Knicks,Amare Stoudemire / Amar'e Stoudemire,,returned to lineup
2014-12-25,Spurs,,Boris Diaw,illness (DTD)
2014-12-26,76ers,Furkan Aldemir,,returned to lineup
2014-12-26,76ers,Tony Wroten Jr.,,returned to lineup
2014-12-26,Bucks,,Ersan Ilyasova,concussion (DTD)
2014-12-26,Cavaliers,,Anderson Varejao,surgery to repair torn left Achilles tendon (out for season)
2014-12-26,Grizzlies,Tony Allen,,returned to lineup
2014-12-26,Kings,,Ramon Sessions,strained lower back (DTD)
2014-12-26,Spurs,,(William) Tony Parker,strained hamstring (DTD)
2014-12-26,Spurs,Boris Diaw,,returned to lineup
2014-12-27,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,strained left calf (DTD)
2014-12-27,Knicks,,Amare Stoudemire / Amar'e Stoudemire,sore right knee (DTD)
2014-12-27,Pacers,,C.J. Miles,upper respiratory infection / illness (DTD)
2014-12-27,Rockets,,Alexey Shved,sprained left ankle (DTD)
2014-12-27,Raptors,,Landry Fields,concussion (DTD)
2014-12-28,Knicks,,Samuel Dalembert,sprained right ankle (DTD)
2014-12-28,Lakers,Kobe Bryant,,returned to lineup
2014-12-28,Nuggets,Darrell Arthur,,returned to lineup
2014-12-28,Lakers,Xavier Henry,,returned to lineup
2014-12-29,Kings,,Eric Moreland,left shoulder injury (out for season)
2014-12-29,Pacers,C.J. Miles,,returned to lineup
2014-12-29,Hornets,,Lance Stephenson,bruised pelvis (DTD)
2014-12-30,Cavaliers,,Shawn Marion,sprained left ankle (DTD)
2014-12-30,Hawks,,Al Horford,illness (DTD)
2014-12-30,Nuggets,,Darrell Arthur,leg injury (DTD)
2014-12-31,Bucks,,Jerryd Bayless,sore left knee (DTD)
2014-12-31,Cavaliers,,Kevin Love,back spasms (DTD)
2014-12-31,Hornets,,Al Jefferson,strained adductor muscle in left groin (out indefinitely)
2014-12-31,Jazz,,Alec Burks,surgery on left shoulder (out for season)
2014-12-31,Knicks,J.R. Smith,,returned to lineup
2015-01-01,Nuggets,Darrell Arthur,,returned to lineup
2015-01-02,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-01-02,Bucks,Jerryd Bayless,,returned to lineup
2015-01-02,Cavaliers,Kevin Love,,returned to lineup
2015-01-02,Cavaliers,Shawn Marion,,returned to lineup
2015-01-02,Hawks,Al Horford,,returned to lineup
2015-01-02,Jazz,,Rodney Hood,left heel injury (out indefinitely)
2015-01-02,Knicks,,Carmelo Anthony,sore left knee (DTD)
2015-01-02,Lakers,Ryan Kelly,,returned to lineup
2015-01-02,Pacers,,C.J. Watson,sore left foot (DTD)
2015-01-02,Pacers,,George Hill,sore/strained left groin (DTD)
2015-01-02,Raptors,Landry Fields,,returned to lineup
2015-01-03,76ers,,Michael Carter-Williams,sore right shoulder (DTD)
2015-01-03,Celtics,,Jameer Nelson,sprained right ankle (DTD)
2015-01-03,Grizzlies,,Beno Udrih,bruised lower left leg (DTD)
2015-01-03,Jazz,,Enes Kanter,sprained right ankle (out indefinitely)
2015-01-03,Timberwolves,,Chase Budinger,illness (DTD)
2015-01-04,Knicks,,Andrea Bargnani,sore/strained right calf (DTD)
2015-01-05,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,turf toe (DTD)
2015-01-05,76ers,Michael Carter-Williams,,returned to lineup
2015-01-05,Bucks,,Jabari Parker,surgery on left knee to repair torn ACL (out for season)
2015-01-05,Cavaliers,,Kyrie Irving,tightness in lower back (DTD)
2015-01-05,Grizzlies,Beno Udrih,,returned to lineup
2015-01-05,Jazz,,Trey Burke,strep throat (DTD)
2015-01-05,Lakers,,Kobe Bryant,rest (DTD)
2015-01-05,Lakers,,Wesley Johnson / Wes Johnson,strained right hip flexor (DTD)
2015-01-05,Nets,,Deron Williams,back injury / sore left side (DTD)
2015-01-05,Nets,,Kevin Garnett,rest (DTD)
2015-01-05,Pacers,C.J. Watson,,returned to lineup
2015-01-05,Timberwolves,,Robbie Hummel,illness (DTD)
2015-01-05,Warriors,,Brandon Rush,flu (DTD)
2015-01-06,Lakers,,Julius Randle,surgery on right foot/leg to replace screw (out for season)
2015-01-06,Spurs,,Aron Baynes,neck spasms (DTD)
2015-01-07,Cavaliers,,Iman Shumpert,dislocated left shoulder (DTD)
2015-01-07,Cavaliers,Kyrie Irving,,returned to lineup
2015-01-07,Jazz,Trey Burke,,returned to lineup
2015-01-07,Lakers,,Ronnie Price,fractured nose (DTD)
2015-01-07,Lakers,Kobe Bryant,,returned to lineup
2015-01-07,Nets,Deron Williams,,returned to lineup
2015-01-07,Nets,Kevin Garnett,,returned to lineup
2015-01-07,Pacers,,Rodney Stuckey,sore right groin (DTD)
2015-01-07,Timberwolves,Chase Budinger,,returned to lineup
2015-01-07,Timberwolves,Robbie Hummel,,returned to lineup
2015-01-07,Wizards,Drew Gooden,,returned to lineup
2015-01-08,Hornets,,Cody Zeller,strained right shoulder (DTD)
2015-01-08,Hornets,,P.J. Hairston,illness (DTD)
2015-01-08,Nets,,Deron Williams,fractured rib (out indefinitely)
2015-01-09,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-01-09,Cavaliers,,Shawn Marion,strained left hip (DTD)
2015-01-09,Lakers,,Kobe Bryant,rest (DTD)
2015-01-09,Lakers,Ronnie Price,,returned to lineup
2015-01-09,Nets,,Kevin Garnett,rest (DTD)
2015-01-09,Nuggets,,Wilson Chandler,strained right knee (DTD)
2015-01-09,Pacers,Rodney Stuckey,,returned to lineup
2015-01-09,Timberwolves,,Maurice Williams / Mo Williams,sprained right ankle (DTD)
2015-01-10,Blazers,,Allen Crabbe,strained left knee (DTD)
2015-01-10,Hornets,Cody Zeller,,returned to lineup
2015-01-10,Hornets,P.J. Hairston,,returned to lineup
2015-01-10,Jazz,Enes Kanter,,returned to lineup
2015-01-10,Magic,,Tobias Harris,sprained left ankle (DTD)
2015-01-10,Nets,Kevin Garnett,,returned to lineup
2015-01-10,Pacers,Damjan Rudez,,returned to lineup
2015-01-10,Rockets,Alexey Shved,,returned to lineup
2015-01-10,Spurs,,Marco Belinelli,strained left groin (DTD)
2015-01-10,Spurs,Cory Joseph,,returned to lineup
2015-01-10,Timberwolves,,Shabazz Muhammad,sore lower abdomen / strained oblique (DTD)
2015-01-10,Timberwolves,Maurice Williams / Mo Williams,,returned to lineup
2015-01-11,Lakers,Wesley Johnson / Wes Johnson,,returned to lineup
2015-01-12,Rockets,,Terrence Jones,nerve inflammation in left leg (DTD)
2015-01-13,76ers,Hollis Thompson,,returned to lineup
2015-01-13,Cavaliers,Shawn Marion,,returned to lineup
2015-01-13,Jazz,,Trevor Booker,stomach flu (DTD)
2015-01-13,Lakers,Kobe Bryant,,returned to lineup
2015-01-14,76ers,,Robert Covington,bruised right shoulder (DTD)
2015-01-14,76ers,,Tony Wroten Jr.,sprained right ankle / knee (DTD)
2015-01-14,Hornets,,Gary Neal,sore right hamstring (DTD)
2015-01-14,Mavericks,,Dirk Nowitzki,rest (DTD)
2015-01-14,Mavericks,,Rajon Rondo,sore Achilles (DTD)
2015-01-14,Mavericks,,Tyson Chandler,rest / sprained left ankle (DTD)
2015-01-14,Nuggets,Wilson Chandler,,returned to lineup
2015-01-15,Bucks,Ersan Ilyasova,,returned to lineup
2015-01-16,76ers,,Malcolm Thomas (b),right leg injury (DTD)
2015-01-16,76ers,Robert Covington,,returned to lineup
2015-01-16,Blazers,Allen Crabbe,,returned to lineup
2015-01-16,Cavaliers,,Kevin Love,back spasms (DTD)
2015-01-16,Celtics,,James Young,illness (DTD)
2015-01-16,Heat,,Chris Andersen,illness (DTD)
2015-01-16,Jazz,Trevor Booker,,returned to lineup
2015-01-16,Kings,,Carl Landry,sprained right wrist (DTD)
2015-01-16,Lakers,,Kobe Bryant,rest (DTD)
2015-01-16,Lakers,,Ronnie Price,elbow injury / fractured nose (P) (DTD)
2015-01-16,Mavericks,Dirk Nowitzki,,returned to lineup
2015-01-16,Mavericks,Rajon Rondo,,returned to lineup
2015-01-16,Mavericks,Tyson Chandler,,returned to lineup
2015-01-16,Nets,,Sergey Karasev,illness (DTD)
2015-01-16,Pelicans,,Anthony Davis,sprained left toe (DTD)
2015-01-16,Warriors,,Andre Iguodala,rest (DTD)
2015-01-16,Warriors,Brandon Rush,,returned to lineup
2015-01-17,76ers,Malcolm Thomas (b),,returned to lineup
2015-01-17,Hawks,,Dennis Schroder,ankle injury (DTD)
2015-01-17,Hornets,,Kemba Walker,left knee injury (DTD)
2015-01-17,Hornets,Gary Neal,,returned to lineup
2015-01-17,Kings,,DeMarcus Cousins,sprained right ankle (DTD)
2015-01-17,Warriors,Andre Iguodala,,returned to lineup
2015-01-17,Bucks,,Kendall Marshall,torn ACL in right knee (out for season)
2015-01-17,Bucks,,Kendall Marshall,surgery on right knee to repair torn ACL (out for season)
2015-01-19,76ers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,bruised left knee (DTD)
2015-01-19,Cavaliers,Kevin Love,,returned to lineup
2015-01-19,Hawks,Dennis Schroder,,returned to lineup
2015-01-19,Kings,DeMarcus Cousins,,returned to lineup
2015-01-20,Heat,Chris Andersen,,returned to lineup
2015-01-21,76ers,,Nerlens Noel,illness / upper respiratory infection (DTD)
2015-01-21,Blazers,,LaMarcus Aldridge,left thumb injury (DTD)
2015-01-21,Heat,,Hassan Whiteside,sprained right ankle (DTD)
2015-01-21,Lakers,,Tarik Black,sprained right ankle (DTD)
2015-01-21,Lakers,Kobe Bryant,,returned to lineup
2015-01-21,Lakers,Ronnie Price,,returned to lineup
2015-01-21,Pelicans,Anthony Davis,,returned to lineup
2015-01-22,Lakers,,Kobe Bryant,torn rotator cuff in right shoulder (out for season)
2015-01-22,Nets,,Kevin Garnett,rest (DTD)
2015-01-22,Nets,Sergey Karasev,,returned to lineup
2015-01-23,76ers,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2015-01-23,76ers,Nerlens Noel,,returned to lineup
2015-01-23,Lakers,,Jeremy Lin,unspecified (DTD)
2015-01-23,Nets,,Mirza Teletovic,blood clots in lungs (out indefinitely)
2015-01-23,Nuggets,JaVale McGee,,returned to lineup
2015-01-23,Pelicans,,Ryan Anderson,ankle injury (DTD)
2015-01-23,Warriors,,Andre Iguodala,rest (DTD)
2015-01-24,Blazers,,Nicolas Batum,sprained right wrist (DTD)
2015-01-24,Blazers,LaMarcus Aldridge,,returned to lineup
2015-01-24,Knicks,,Carmelo Anthony,sore left knee (DTD)
2015-01-24,Nets,Kevin Garnett,,returned to lineup
2015-01-24,Nuggets,,JaVale McGee,tibia injury (DTD)
2015-01-24,Pistons,,Brandon Jennings,torn left Achilles (out for season)
2015-01-25,Cavaliers,,Brendan Haywood,left knee injury (DTD)
2015-01-25,Heat,Hassan Whiteside,,returned to lineup
2015-01-25,Lakers,Jeremy Lin,,returned to lineup
2015-01-25,Lakers,Tarik Black,,returned to lineup
2015-01-25,Pelicans,Ryan Anderson,,returned to lineup
2015-01-25,Rockets,,Dwight Howard,sprained right ankle/ right knee injury (DTD)
2015-01-25,Thunder,,Steven Adams,migraine headache (DTD)
2015-01-25,Timberwolves,,Robbie Hummel,fractured right hand (out indefinitely)
2015-01-25,Warriors,Andre Iguodala,,returned to lineup
2015-01-26,76ers,,Michael Carter-Williams,upper respiratory infection (DTD)
2015-01-26,Celtics,,Shavlik Randolph,hamstring injury (DTD)
2015-01-26,Jazz,,Jeremy Evans,illness (DTD)
2015-01-26,Thunder,Steven Adams,,returned to lineup
2015-01-27,Grizzlies,,Mike Conley Jr.,sprained left wrist (DTD)
2015-01-27,Heat,,Chris Andersen,back injury (DTD)
2015-01-27,Lakers,,Nick Young,sprained right ankle (DTD)
2015-01-27,Warriors,,Andrew Bogut,flu (DTD)
2015-01-28,76ers,Michael Carter-Williams,,returned to lineup
2015-01-28,Blazers,Nicolas Batum,,returned to lineup
2015-01-28,Cavaliers,,LeBron James,sprained right wrist (DTD)
2015-01-28,Clippers,,J.J. Redick,back spasms (DTD)
2015-01-28,Hornets,,Bismack Biyombo,bone bruise in right knee (DTD)
2015-01-28,Hornets,,Kemba Walker,surgery on left knee to repair torn lateral meniscus (out for season)
2015-01-28,Hornets,,Marvin Williams,concussion (DTD)
2015-01-28,Knicks,,Travis Wear,strained left hip (DTD)
2015-01-28,Knicks,Carmelo Anthony,,returned to lineup
2015-01-28,Lakers,,Kobe Bryant,surgery on right shoulder to repair torn rotator cuff (out for season)
2015-01-28,Nuggets,JaVale McGee,,returned to lineup
2015-01-28,Timberwolves,,Maurice Williams / Mo Williams,sore left hip (DTD)
2015-01-28,Wizards,Paul Pierce,,returned to lineup
2015-01-29,Bucks,,Ersan Ilyasova,groin injury (DTD)
2015-01-29,Bucks,,Zaur Pachulia / Zaza Pachulia,calf injury (DTD)
2015-01-29,Knicks,,Cole Aldrich,bruised left shin (DTD)
2015-01-30,Cavaliers,LeBron James,,returned to lineup
2015-01-30,Clippers,J.J. Redick,,returned to lineup
2015-01-30,Heat,Chris Andersen,,returned to lineup
2015-01-30,Mavericks,,Chandler Parsons,illness (DTD)
2015-01-30,Pelicans,,Anthony Davis,strained left groin (DTD)
2015-01-30,Warriors,Andrew Bogut,,returned to lineup
2015-01-31,Grizzlies,Mike Conley Jr.,,returned to lineup
2015-01-31,Timberwolves,,Zach LaVine,sprained left ankle (DTD)
2015-02-01,Celtics,,Tayshaun Prince,hip injury (DTD)
2015-02-02,Bucks,,Brandon Knight,sore right quadriceps (DTD)
2015-02-02,Hornets,Marvin Williams,,returned to lineup
2015-02-02,Mavericks,Chandler Parsons,,returned to lineup
2015-02-02,Pelicans,Anthony Davis,,returned to lineup
2015-02-02,Timberwolves,Maurice Williams / Mo Williams,,returned to lineup
2015-02-03,Heat,,Shawne Williams,hip injury (DTD)
2015-02-03,Knicks,,Pablo Prigioni,sore left hip (DTD)
2015-02-04,Bucks,,Kenyon Martin,sprained left ankle (DTD)
2015-02-04,Bucks,Brandon Knight,,returned to lineup
2015-02-04,Grizzlies,,Jordan Adams,sore left ankle (DTD)
2015-02-04,Lakers,,Jordan Hill,strained hip flexor (DTD)
2015-02-04,Lakers,Nick Young,,returned to lineup
2015-02-04,Nuggets,,Jameer Nelson,Achilles injury (DTD)
2015-02-04,Raptors,,Lucas Nogueira,groin injury (DTD)
2015-02-04,Timberwolves,Zach LaVine,,returned to lineup
2015-02-05,Cavaliers,Brendan Haywood,,returned to lineup
2015-02-05,Clippers,,J.J. Redick,back spasms (DTD)
2015-02-05,Mavericks,,Dirk Nowitzki,rest (DTD)
2015-02-05,Wizards,,Kevin Seraphin,sprained right ankle (DTD)
2015-02-06,76ers,,Michael Carter-Williams,strained right big toe (DTD)
2015-02-06,Bucks,Ersan Ilyasova,,returned to lineup
2015-02-06,Clippers,,Hidayet Turkoglu / Hedo Turkoglu,stomach virus (DTD)
2015-02-06,Heat,,Hassan Whiteside,sprained ankle (DTD)
2015-02-06,Knicks,Cole Aldrich,,returned to lineup
2015-02-06,Lakers,,Ronnie Price,elbow injury (DTD)
2015-02-06,Pacers,,Ian Mahinmi,sprained right ankle (DTD)
2015-02-06,Raptors,Lucas Nogueira,,returned to lineup
2015-02-06,Suns,,Alex Len,sprained right ankle (out indefinitely)
2015-02-06,Thunder,Perry Jones III,,returned to lineup
2015-02-07,Celtics,Tayshaun Prince,,returned to lineup
2015-02-07,Jazz,,Joe Ingles,back spasms (DTD)
2015-02-07,Knicks,Travis Wear,,returned to lineup
2015-02-07,Mavericks,Dirk Nowitzki,,returned to lineup
2015-02-07,Nets,,Kevin Garnett,rest (DTD)
2015-02-07,Wizards,Kevin Seraphin,,returned to lineup
2015-02-07,Grizzlies,Jordan Adams,,returned to lineup
2015-02-08,Clippers,,Blake Griffin,right elbow injury (out indefinitely)
2015-02-08,Clippers,Hidayet Turkoglu / Hedo Turkoglu,,returned to lineup
2015-02-08,Hornets,,Michael Kidd-Gilchrist,strained right hamstring (DTD)
2015-02-08,Pacers,,Lavoy Allen,sore right knee (DTD)
2015-02-09,Bucks,Zaur Pachulia / Zaza Pachulia,,returned to lineup
2015-02-09,Clippers,,Blake Griffin,surgery on right elbow to remove staph infection
2015-02-09,Clippers,J.J. Redick,,returned to lineup
2015-02-09,Heat,,James Ennis,knee injury (DTD)
2015-02-09,Heat,Hassan Whiteside,,returned to lineup
2015-02-09,Magic,,Tobias Harris,sore right knee (DTD)
2015-02-09,Nets,Kevin Garnett,,returned to lineup
2015-02-09,Pelicans,,Anthony Davis,sprained right shoulder (DTD)
2015-02-09,Pelicans,,Ryan Anderson,sore/sprained right elbow (DTD)
2015-02-09,Thunder,Anthony Morrow,,returned to lineup
2015-02-09,Thunder,,Steven Adams,surgery on right finger to repair fracture (out indefinitely)
2015-02-09,Timberwolves,Shabazz Muhammad,,returned to lineup
2015-02-10,Kings,,Derrick Williams,ankle injury (DTD)
2015-02-10,Kings,Rudy Gay,,returned to lineup
2015-02-10,Nuggets,,Erick Green,hip pointer (DTD)
2015-02-10,Nuggets,JaVale McGee,,returned to lineup
2015-02-10,Pistons,,Caron Butler,back spasms (DTD)
2015-02-10,Pistons,,Cartier Martin,sprained right ankle (DTD)
2015-02-11,Kings,Derrick Williams,,returned to lineup
2015-02-11,Knicks,Pablo Prigioni,,returned to lineup
2015-02-11,Wizards,,Kris Humphries,sore lower back (DTD)
2015-02-12,Cavaliers,,Kevin Love,right eye injury (DTD)
2015-02-19,Clippers,,Austin Rivers,left ankle injury / sore left foot (DTD)
2015-02-19,Knicks,,Carmelo Anthony,surgery on left knee to repair patellar tendon (out for season)
2015-02-19,Bucks,Kenyon Martin,,returned to lineup
2015-02-19,Suns,Kendall Marshall,,returned to lineup
2015-02-20,Bucks,,Ersan Ilyasova,illness (DTD)
2015-02-20,Cavaliers,Kevin Love,,returned to lineup
2015-02-20,Heat,James Ennis,,returned to lineup
2015-02-20,Jazz,Joe Ingles,,returned to lineup
2015-02-20,Knicks,,Shane Larkin,illness (DTD)
2015-02-20,Lakers,Jordan Hill,,returned to lineup
2015-02-20,Lakers,Ronnie Price,,returned to lineup
2015-02-20,Nets,,Jarrett Jack,sore left hamstring (DTD)
2015-02-20,Nuggets,,Ty Lawson,unspecified (DTD)
2015-02-20,Nuggets,Erick Green,,returned to lineup
